lng,lat,人均价格,星级,口味,环境,服务
121.379824999999,31.2435569999999,130,4,4.2,4.4,4.4
121.360636,31.261098,40,3.9,3.8,3.9,3.8
121.361756999999,31.239274,32,3.9,3.9,3.9,3.9
121.406683999999,31.272462,54,3.7,3.8,3.8,3.7
121.403160999999,31.293132,32,3.7,3.7,3.7,3.7
121.378733999999,31.2479599999999,32,3.9,3.9,4,3.9
121.421581,31.2814389999999,33,4,4,4.1,4.1
121.416708999999,31.2822859999999,42,4.2,4.1,4.3,3.9
121.406278,31.2700409999999,27,4.1,4,3.9,4
121.379956,31.247126,44,4,3.8,3.7,3.5
121.406743,31.272663,24,3.9,3.8,3.6,3.7
121.409293,31.272326,44,4.1,4.1,4.2,4
121.502859999999,31.128699,98,4.2,4.1,4,4.4
121.310096999999,31.19442,116,4.6,4.6,4.5,4.5
121.504262999999,31.124873,127,4.2,4.3,4.1,4.3
121.384701,31.1935019999999,275,4.7,4.7,4.6,4.8
121.380139999999,31.1924509999999,145,4,4,4.1,3.9
121.369333999999,31.189484,340,3.9,4,4.1,3.9
121.380959,31.186423,99,4.5,4.4,4.4,4.4
121.502763,31.1286929999999,37,3.6,3.8,3.8,3.8
121.389953,31.192651,259,4.2,4,3.7,3.8
121.412538999999,31.2957229999999,65,3.5,3.7,3.7,3.6
121.494286,31.12198,32,3.6,3.6,3.7,3.6
121.438777999999,31.253111,29,3.7,3.8,3.8,3.7
121.456469999999,31.231752,65,4,3.8,3.9,3.7
121.462033,31.270039,54,4.4,4.4,4.5,4.4
121.475762,31.248303,18,4.4,4.4,4,4.4
121.432381,31.23781,27,4.2,4,3.6,3.9
121.462931999999,31.240952,30,4,3.9,3.8,3.7
121.413573999999,31.2959369999999,41,4,4.2,4.2,4.1
121.475094999999,31.2608369999999,21,4.3,4.3,3.8,4.2
121.421491,31.281617,26,4.1,4.2,4,4
121.425556,31.271045,31,3.8,4,4,4
121.423848,31.281856,54,3.9,4.2,4.1,4.1
121.462795,31.274708,34,3.8,3.8,3.6,3.8
121.452978999999,31.2221459999999,20,4.1,4.1,3.9,4.2
121.456253,31.2315159999999,26,3.8,3.8,3.7,3.7
121.472969,31.262761,24,4.1,4.2,3.7,3.9
121.448469,31.219939,52,4.2,4.2,3.4,3.7
121.452839999999,31.2223499999999,44,4.3,4.2,4.3,4.3
121.462732,31.227922,39,4.1,4.1,4,4.2
121.432328999999,31.237808,22,3.5,3.5,3.4,3.5
121.466569,31.2281569999999,30,3.8,3.8,3.7,3.8
121.455695,31.228304,32,3.3,3.5,3.6,3.6
121.439014,31.217099,47,4.1,4.1,3.8,4.2
121.421581,31.2814389999999,33,4,4,4.1,4.1
121.420989,31.273508,22,4.3,4.3,4,4.1
121.422583,31.230808,29,4,4,3.8,3.8
121.421995999999,31.279603,19,4.1,4,4.1,4.1
121.419038999999,31.286071,21,4.1,4.1,3.9,4.2
121.424762,31.237433,15,3.5,3.6,3.5,3.6
121.450259,31.221238,8,3.5,3.5,3.2,3.4
121.422498,31.2821439999999,20,3.7,3.7,3.7,3.8
121.418736999999,31.286093,18,3.8,3.8,3.7,3.7
121.434974999999,31.239453,98,3.8,3.9,3.7,3.7
121.433537,31.312681,17,3.8,3.7,3.7,3.7
121.441935999999,31.243459,18,3.5,3.4,3.6,3.4
121.420827,31.2728059999999,42,3.6,3.6,3.6,3.5
121.450278999999,31.221128,5,3.8,3.8,3.6,3.7
121.419184999999,31.285829,5,3.7,3.7,3.7,3.7
121.474761,31.261143,21,3.8,3.7,3.2,3.5
121.417,31.2314149999999,13,3.7,3.7,3.5,3.7
121.465827,31.2311219999999,23,3.6,3.6,3.6,3.6
121.422141999999,31.2308179999999,33,3.6,3.7,3.6,3.7
121.446139,31.2189,21,3.7,3.7,3.5,3.6
121.458896999999,31.2270399999999,18,3.6,3.6,3.5,3.5
121.463106999999,31.229357,5,3.6,3.6,3.6,3.6
121.424145999999,31.234617,16,3.5,3.5,3.6,3.6
121.477127999999,31.246243,55,3.5,3.5,3.6,3.6
121.475633,31.247923,11,3.5,3.6,3.4,3.6
121.421306999999,31.280194,15,3.7,3.6,3.6,3.6
121.460728,31.285781,4,3.6,3.6,3.6,3.6
121.455627,31.228282,8,3.6,3.6,3.6,3.6
121.43747,31.266147,15,3.5,3.5,3.3,3.4
121.429649999999,31.3226219999999,18,3.5,3.5,3.5,3.5
121.464132,31.271246,10,3.6,3.6,3.3,3.4
121.452425,31.223282,25,3.6,3.7,3.7,3.7
121.439678,31.2179919999999,19,3.5,3.5,3.4,3.5
121.474936999999,31.248173,24,3.6,3.6,3.6,3.6
121.444115999999,31.257084,28,3.5,3.5,3.5,3.5
